DateTime,Text,URL,Reply,Retweet,Like,QuoteTweet
2021-7-24 19:41,室内における換気方式はいくつかあって、給気機で外気を機械給気し、排気口やドアのがらりから室内の空気を自然排気する方法を第二種換気方式といい、吸気口やドアのがらりから外気を自然給気し、排気機で室内空気を機械排気する方法を第三種換気方式というのですが、,https://twitter.com/skytomo221/status/1418884142670827520,1,0,3,0
2021-7-24 15:58,まいにちねこねこ,https://twitter.com/skytomo221/status/1418828021906116609,0,0,2,0
2021-7-23 22:59,背景のカンボジアが主張激しくて良い,https://twitter.com/skytomo221/status/1418571509958729732,0,1,4,0
2021-7-23 10:22,シグくんかわいいな,https://twitter.com/skytomo221/status/1418380852061372416,0,0,0,0
2021-7-23 21:52,もう少しでナウルなのか,https://twitter.com/skytomo221/status/1418554573225029632,0,0,0,0
2021-7-22 23:50,これでも貼っとくかhttps://t.co/P5J6I1Dp8K,https://twitter.com/skytomo221/status/1418222009243168775,0,4,7,0
2021-7-23 23:15,ドローン「ではこのへんでドロンさせていただきます…ｗ」,https://twitter.com/skytomo221/status/1418575411986898945,0,2,14,0
2021-7-22 1:50,片っ端から店で「アド街見ました」と言うことによって、不正に割引させるタイプのリバースブルートフォース攻撃,https://twitter.com/skytomo221/status/1417889780487000065,0,44,90,0
2021-7-22 0:34,@rabdology おやすみなさい～,https://twitter.com/skytomo221/status/1417870506393436162,1,0,0,0
2021-7-23 23:25,ピクトグラムの歴史めちゃくちゃ面白いな,https://twitter.com/skytomo221/status/1418578142122307584,0,0,3,0
2021-7-23 23:28,Eテレ感好き,https://twitter.com/skytomo221/status/1418578828071297033,0,0,6,0
2021-7-23 21:57,@namachan10777 たとえそれが間違っていてもその方が伝わりやすいから、敢えてそう言ってるのかもしれない,https://twitter.com/skytomo221/status/1418555746749337603,1,0,1,0
2021-7-23 22:17,ゲーム音楽わからないけどここだけやたら聞いたことあるBGM,https://twitter.com/skytomo221/status/1418560946268635138,0,0,2,0
2021-7-23 23:06,ダメだろ,https://twitter.com/skytomo221/status/1418573345029726214,0,1,1,0
2021-7-23 22:07,TLで高専入場しがち,https://twitter.com/skytomo221/status/1418558321854869507,0,0,4,0
2021-7-23 21:54,お、ナウルだ～,https://twitter.com/skytomo221/status/1418555139355385860,0,0,2,0
2021-7-23 22:06,Japanese AlphabetはUnicode順です(ﾆｯｺﾘ),https://twitter.com/skytomo221/status/1418558155944980481,0,1,6,0
2021-7-23 22:09,あいうえお順で関係が悪い国同士が近くなることによるソーシャルディスタンスで笑ってしまった,https://twitter.com/skytomo221/status/1418558998865870854,0,0,2,0
2021-7-22 20:42,昨日の #VRChat https://t.co/cjDfjWBlXH,https://twitter.com/skytomo221/status/1418174698894946304,0,0,3,0
2021-7-23 10:55,食品添加物に漂白剤が入っているの一瞬ドキッとするよね,https://twitter.com/skytomo221/status/1418389346743324674,0,0,2,0
2021-7-23 23:27,ピクトグラム面白いなwwなにこれwww,https://twitter.com/skytomo221/status/1418578419361583114,0,0,1,0
2021-7-23 22:27,ラトビア選手の服のデザインなんかすごいな,https://twitter.com/skytomo221/status/1418563367036362759,0,0,1,0
2021-7-21 11:10,saizeriya | ojichat #シェル芸,https://twitter.com/skytomo221/status/1417668336389824519,0,0,0,0
